Date,Ticker,Compound,Positive,Negative,Neutral,Sentiment Signal
2020-06-11,XLM,0.0,0.11,0.11,0.78,0
2020-06-10,XLM,0.0,0.0,0.0,1.0,0
2020-06-09,XLM,0.8807,0.317,0.0,0.683,1
2020-06-08,XLM,0.0772,0.1,0.089,0.812,1
2020-06-07,XLM,0.4738,0.081,0.0,0.919,1
2020-06-06,XLM,0.0,0.0,0.0,1.0,0
2020-06-05,XLM,0.34,0.107,0.0,0.893,1
2020-06-04,XLM,0.0,0.0,0.0,1.0,0
2020-06-03,XLM,0.0,0.0,0.0,1.0,0
2020-06-02,XLM,0.6124,0.185,0.0,0.815,1
2020-06-01,XLM,0.2023,0.201,0.13,0.669,1
2020-05-31,XLM,0.2023,0.201,0.13,0.669,1
2020-05-30,XLM,0.0,0.0,0.0,1.0,0
2020-05-29,XLM,0.296,0.095,0.0,0.905,1
2020-05-28,XLM,0.0,0.0,0.0,1.0,0
2020-05-27,XLM,0.2023,0.153,0.0,0.847,1
2020-05-26,XLM,0.4215,0.195,0.096,0.709,1
2020-05-25,XLM,-0.5216,0.0,0.095,0.905,-1
2020-05-24,XLM,0.5106,0.216,0.0,0.784,1
2020-05-23,XLM,0.1779,0.061,0.0,0.939,1
2020-05-22,XLM,0.5473,0.201,0.0,0.799,1
2020-05-21,XLM,0.0,0.0,0.0,1.0,0
2020-05-20,XLM,0.4767,0.194,0.0,0.806,1
2020-05-19,XLM,0.0,0.0,0.0,1.0,0
2020-05-18,XLM,0.0,0.0,0.0,1.0,0
2020-05-17,XLM,0.0,0.0,0.0,1.0,0
2020-05-16,XLM,0.0,0.0,0.0,1.0,0
2020-05-15,XLM,0.765,0.241,0.0,0.759,1
2020-05-14,XLM,0.0,0.0,0.0,1.0,0
2020-05-13,XLM,0.2023,0.153,0.0,0.847,1
2020-05-12,XLM,0.6606000000000001,0.21,0.0,0.79,1
2020-05-11,XLM,0.0,0.0,0.0,1.0,0
2020-05-10,XLM,0.2023,0.153,0.0,0.847,1
2020-05-09,XLM,0.0,0.0,0.0,1.0,0
2020-05-08,XLM,-0.296,0.0,0.075,0.925,-1
2020-05-07,XLM,0.0,0.0,0.0,1.0,0
2020-05-06,XLM,0.6249,0.221,0.0,0.779,1
2020-05-05,XLM,0.0,0.0,0.0,1.0,0
2020-05-04,XLM,0.0,0.0,0.0,1.0,0
2020-05-03,XLM,0.0258,0.137,0.09,0.773,1
2020-05-02,XLM,0.7906,0.226,0.0,0.774,1
2020-05-01,XLM,-0.3818,0.186,0.243,0.571,-1
2020-04-30,XLM,0.0,0.0,0.0,1.0,0
2020-04-29,XLM,0.0,0.0,0.0,1.0,0
2020-04-28,XLM,0.3818,0.126,0.0,0.874,1
2020-04-27,XLM,0.4497,0.106,0.0,0.894,1
2020-04-26,XLM,0.34,0.195,0.102,0.703,1
2020-04-25,XLM,0.0,0.0,0.0,1.0,0
2020-04-24,XLM,0.2023,0.153,0.0,0.847,1
2020-04-23,XLM,0.4404,0.112,0.0,0.888,1
2020-04-22,XLM,0.7269,0.217,0.0,0.783,1
2020-04-21,XLM,0.0,0.0,0.0,1.0,0
2020-04-20,XLM,0.7269,0.217,0.0,0.783,1
2020-04-19,XLM,0.34,0.098,0.0,0.902,1
2020-04-18,XLM,0.0,0.0,0.0,1.0,0
2020-04-17,XLM,0.2023,0.153,0.0,0.847,1
2020-04-16,XLM,0.0,0.0,0.0,1.0,0
2020-04-15,XLM,0.0,0.086,0.086,0.827,0
2020-04-14,XLM,0.0,0.0,0.0,1.0,0
2020-04-13,XLM,0.0,0.0,0.0,1.0,0
2020-04-12,XLM,0.5574,0.135,0.0,0.865,1
2020-04-11,XLM,0.4404,0.104,0.0,0.896,1
2020-04-10,XLM,0.25,0.087,0.0,0.913,1
2020-04-09,XLM,0.1935,0.166,0.121,0.713,1
2020-04-08,XLM,0.5574,0.213,0.0,0.787,1
2020-04-07,XLM,0.2263,0.071,0.0,0.929,1
2020-04-06,XLM,0.0,0.0,0.0,1.0,0
2020-04-05,XLM,0.0,0.0,0.0,1.0,0
2020-04-04,XLM,0.5106,0.074,0.0,0.926,1
2020-04-03,XLM,0.4588,0.12,0.0,0.88,1
2020-04-02,XLM,0.0,0.0,0.0,1.0,0
2020-04-01,XLM,0.4215,0.109,0.0,0.891,1
2020-03-31,XLM,-0.0343,0.094,0.099,0.807,-1
2020-03-30,XLM,0.0,0.0,0.0,1.0,0
2020-03-29,XLM,0.0,0.0,0.0,1.0,0
2020-03-28,XLM,0.0,0.0,0.0,1.0,0
2020-03-27,XLM,0.0,0.0,0.0,1.0,0
2020-03-26,XLM,0.0,0.0,0.0,1.0,0
2020-03-25,XLM,0.1779,0.157,0.094,0.749,1
2020-03-24,XLM,0.0,0.0,0.0,1.0,0
2020-03-23,XLM,0.0,0.0,0.0,1.0,0
2020-03-22,XLM,0.0,0.0,0.0,1.0,0
2020-03-21,XLM,0.0,0.0,0.0,1.0,0
2020-03-20,XLM,0.0,0.0,0.0,1.0,0
2020-03-19,XLM,0.34,0.167,0.0,0.833,1
2020-03-18,XLM,0.0,0.0,0.0,1.0,0
2020-03-17,XLM,0.34,0.098,0.0,0.902,1
2020-03-16,XLM,0.2023,0.153,0.0,0.847,1
2020-03-15,XLM,0.4019,0.101,0.0,0.899,1
2020-03-14,XLM,0.4019,0.101,0.0,0.899,1
2020-03-13,XLM,0.0,0.0,0.0,1.0,0
2020-03-12,XLM,0.0,0.0,0.0,1.0,0
2020-03-11,XLM,0.0,0.0,0.0,1.0,0
2020-03-10,XLM,0.0,0.0,0.0,1.0,0
2020-03-09,XLM,0.0,0.0,0.0,1.0,0
2020-03-08,XLM,0.0,0.0,0.0,1.0,0
2020-03-07,XLM,0.0,0.0,0.0,1.0,0
2020-03-06,XLM,0.2023,0.153,0.0,0.847,1
2020-03-05,XLM,0.2023,0.153,0.0,0.847,1
2020-03-04,XLM,0.2023,0.153,0.0,0.847,1
2020-03-03,XLM,0.0,0.0,0.0,1.0,0
2020-03-02,XLM,0.0,0.0,0.0,1.0,0
2020-03-01,XLM,0.4019,0.156,0.0,0.844,1
2020-02-29,XLM,0.2023,0.153,0.0,0.847,1
2020-02-28,XLM,0.5106,0.185,0.0,0.815,1
2020-02-27,XLM,0.0,0.0,0.0,1.0,0
2020-02-26,XLM,0.0,0.0,0.0,1.0,0
2020-02-25,XLM,0.0,0.0,0.0,1.0,0
2020-02-24,XLM,0.0,0.0,0.0,1.0,0
2020-02-23,XLM,0.0,0.0,0.0,1.0,0
2020-02-22,XLM,0.0,0.0,0.0,1.0,0
2020-02-21,XLM,-0.5994,0.0,0.182,0.818,-1
2020-02-20,XLM,0.0,0.0,0.0,1.0,0
2020-02-19,XLM,0.7059,0.184,0.0,0.816,1
2020-02-18,XLM,0.2023,0.153,0.0,0.847,1
2020-02-17,XLM,0.505,0.198,0.067,0.735,1
2020-02-16,XLM,0.505,0.198,0.067,0.735,1
2020-02-15,XLM,0.0,0.0,0.0,1.0,0
2020-02-14,XLM,0.2023,0.153,0.0,0.847,1
2020-02-13,XLM,-0.2023,0.063,0.092,0.845,-1
2020-02-12,XLM,0.0,0.0,0.0,1.0,0
2020-02-11,XLM,0.3612,0.122,0.0,0.878,1
2020-02-10,XLM,0.0,0.0,0.0,1.0,0
2020-02-09,XLM,0.0,0.0,0.0,1.0,0
2020-02-08,XLM,0.0,0.0,0.0,1.0,0
2020-02-07,XLM,0.0,0.0,0.0,1.0,0
2020-02-06,XLM,0.0,0.0,0.0,1.0,0
2020-02-05,XLM,0.2023,0.153,0.0,0.847,1
2020-02-04,XLM,0.4404,0.207,0.102,0.691,1
2020-02-03,XLM,0.0,0.0,0.0,1.0,0
2020-02-02,XLM,0.0,0.0,0.0,1.0,0
2020-02-01,XLM,0.1531,0.085,0.066,0.849,1
2020-01-31,XLM,0.6124,0.179,0.0,0.821,1
2020-01-30,XLM,0.0,0.0,0.0,1.0,0
2020-01-29,XLM,0.6249,0.164,0.0,0.836,1
2020-01-28,XLM,0.0,0.0,0.0,1.0,0
2020-01-27,XLM,0.7425,0.239,0.0,0.761,1
2020-01-26,XLM,0.7425,0.239,0.0,0.761,1
2020-01-25,XLM,0.4767,0.177,0.0,0.823,1
2020-01-24,XLM,0.3597,0.207,0.124,0.669,1
2020-01-23,XLM,0.0,0.0,0.0,1.0,0
2020-01-22,XLM,0.0,0.0,0.0,1.0,0
2020-01-21,XLM,0.0,0.0,0.0,1.0,0
2020-01-20,XLM,0.0,0.0,0.0,1.0,0
2020-01-19,XLM,0.0,0.0,0.0,1.0,0
2020-01-18,XLM,-0.5267,0.0,0.124,0.876,-1
2020-01-17,XLM,0.0,0.0,0.0,1.0,0
2020-01-16,XLM,0.0,0.0,0.0,1.0,0
2020-01-15,XLM,0.0,0.0,0.0,1.0,0
2020-01-14,XLM,0.0,0.0,0.0,1.0,0
2020-01-13,XLM,0.0,0.0,0.0,1.0,0
