Date,Ticker,Compound,Positive,Negative,Neutral,Sentiment Signal
2019-12-22,DOGE,-0.4404,0.0,0.153,0.847,-1
2019-12-21,DOGE,-0.4404,0.0,0.162,0.838,-1
2019-12-20,DOGE,-0.4404,0.0,0.162,0.838,-1
2019-12-19,DOGE,-0.4404,0.0,0.153,0.847,-1
2019-12-18,DOGE,0.1027,0.084,0.072,0.844,1
2019-12-17,DOGE,0.0,0.0,0.0,1.0,0
2019-12-16,DOGE,-0.4404,0.0,0.162,0.838,-1
2019-12-15,DOGE,0.5661,0.112,0.0,0.888,1
2019-12-14,DOGE,0.0,0.0,0.0,1.0,0
2019-12-13,DOGE,-0.4404,0.0,0.153,0.847,-1
2019-12-12,DOGE,-0.4404,0.0,0.153,0.847,-1
2019-12-11,DOGE,0.6369,0.154,0.0,0.846,1
2019-12-10,DOGE,0.9511,0.435,0.0,0.565,1
2019-12-09,DOGE,0.6249,0.169,0.0,0.831,1
2019-12-08,DOGE,0.0,0.0,0.0,1.0,0
2019-12-07,DOGE,0.0,0.0,0.0,1.0,0
2019-12-06,DOGE,0.0,0.0,0.0,1.0,0
2019-12-05,DOGE,0.1027,0.085,0.0,0.915,1
2019-12-04,DOGE,0.5267,0.159,0.0,0.841,1
2019-12-03,DOGE,0.6597,0.162,0.0,0.838,1
2019-12-02,DOGE,0.296,0.091,0.0,0.909,1
2019-12-01,DOGE,0.7841,0.273,0.0,0.727,1
2019-11-30,DOGE,-0.6249,0.0,0.369,0.631,-1
2019-11-29,DOGE,-0.1779,0.078,0.106,0.816,-1
2019-11-28,DOGE,0.34,0.094,0.0,0.906,1
2019-11-27,DOGE,0.0,0.0,0.0,1.0,0
2019-11-26,DOGE,-0.4939,0.0,0.154,0.846,-1
2019-11-25,DOGE,0.5106,0.18,0.0,0.82,1
2019-11-24,DOGE,0.4588,0.218,0.137,0.645,1
2019-11-23,DOGE,0.0,0.0,0.0,1.0,0
2019-11-22,DOGE,0.4215,0.128,0.0,0.872,1
2019-11-21,DOGE,0.0,0.0,0.0,1.0,0
2019-11-20,DOGE,0.0,0.0,0.0,1.0,0
2019-11-19,DOGE,0.4215,0.142,0.0,0.858,1
2019-11-18,DOGE,0.0,0.0,0.0,1.0,0
2019-11-17,DOGE,0.0,0.0,0.0,1.0,0
2019-11-16,DOGE,0.0516,0.087,0.115,0.799,1
2019-11-15,DOGE,0.3313,0.14,0.085,0.775,1
2019-11-14,DOGE,-0.6908,0.0,0.17,0.83,-1
2019-11-13,DOGE,0.5848,0.186,0.0,0.814,1
2019-11-12,DOGE,0.0,0.0,0.0,1.0,0
2019-11-11,DOGE,0.34,0.255,0.0,0.745,1
2019-11-10,DOGE,0.0,0.0,0.0,1.0,0
2019-11-09,DOGE,0.5106,0.113,0.0,0.887,1
2019-11-08,DOGE,0.0,0.0,0.0,1.0,0
2019-11-07,DOGE,0.4588,0.12,0.0,0.88,1
2019-11-06,DOGE,0.5255,0.236,0.0,0.764,1
2019-11-05,DOGE,0.4019,0.094,0.0,0.906,1
2019-11-04,DOGE,-0.3412,0.0,0.074,0.926,-1
